en,kn
"On the matter of the AMs’ title, the Commission favoured Welsh Parliament Members or WMPs, but the MWP option received the most support in a public consultation.","AMಗಳ ಬಿರುದಿಗೆ ಸಂಬಂಧಿಸಿದಂತೆ ಕಮಿಷನ್, ವೆಲ್ಶ್ ಪಾರ್ಲಿಮೆಂಟ್ ಸದಸ್ಯರು ಅಥವಾ WMPಗಳು ಎಂಬ ಹೆಸರಿನ ಪರವಾಗಿತ್ತು, ಆದರೆ MWP ಎಂಬ ಹೆಸರಿಗೆ ಅತಿ ಹೆಚ್ಚು ಸಾರ್ವಜನಿಕ ಬೆಂಬಲ ದೊರೆತಿತ್ತು."
"AMs are apparently suggesting alternative options, but the struggle to reach consensus could be a headache for the Presiding Officer, Elin Jones, who is expected to submit draft legislation on the changes within weeks.","AMಗಳು ಪರ್ಯಾಯ ಆಯ್ಕೆಗಳನ್ನು ಸೂಚಿಸುತ್ತಿದ್ದಾರಂತೆ, ಆದರೆ ಒಂದು ಒಮ್ಮತದ ನಿರ್ಧಾರ ಕೈಗೊಳ್ಳುವುದು ಹಾಲಿ ಅಧ್ಯಕ್ಷತೆ ವಹಿಸಿಕೊಂಡಿರುವ ಅಧಿಕಾರಿ ಎಲಿನ್ ಜೋನ್ಸ್ ಅವರಿಗೆ ತಲೆನೋವಾಗಿ ಪರಿಣಮಿಸಬಹುದು. ಎಲಿನ್ ಜೋನ್ಸ್ ಅವರು ಬದಲಾವಣೆಗಳನ್ನು ಕುರಿತ ಶಾಸನದ ಕರಡು ಪ್ರತಿಯನ್ನು ಕೆಲವು ವಾರಗಳೊಳಗೆ ಸಲ್ಲಿಸುವ ನಿರೀಕ್ಷೆ ಇದೆ."
"The legislation on the reforms will include other changes to the way the assembly works, including rules on disqualification of AMs and the design of the committee system.",ಸುಧಾರಣೆಗಳನ್ನು ಕುರಿತ ಶಾಸನವು AMಗಳನ್ನು ಅನರ್ಹಗೊಳಿಸುವ ನಿಯಮಗಳು ಮತ್ತು ಸಮಿತಿ ವ್ಯವಸ್ಥೆಯ ವಿನ್ಯಾಸ ಒಳಗೊಂಡಂತೆ ಶಾಸನ ಸಭೆಯ ಕಾರ್ಯವೈಖರಿಯಲ್ಲಿ ಇತರ ಬದಲಾವಣೆಗಳನ್ನು ಒಳಗೊಳ್ಳುತ್ತದೆ.
AMs will get the final vote on the question of what they should be called when they debate the legislation.,AMಗಳು ಶಾಸನವನ್ನು ಕುರಿತು ಚರ್ಚಿಸುವಾಗ ಅವರನ್ನು ಏನೆಂದು ಕರೆಯಬೇಕು ಎಂಬ ಪ್ರಶ್ನೆಯ ಬಗ್ಗೆ ಅಂತಿಮ ಮತ ಚಲಾಯಿಸುವ ಹಕ್ಕನ್ನು ಹೊಂದಿರುತ್ತಾರೆ.
Macedonians go to polls in referendum on changing country's name,ಮೆಸಿಡೋನಿಯಾ ಜನರು ದೇಶದ ಹೆಸರು ಬದಲಾಯಿಸುವ ಬಗ್ಗೆ ಜನಮತ ಸಂಗ್ರಹಿಸಲು ಮತದಾನ ನಡೆಸುತ್ತಾರೆ
Voters will vote Sunday on whether to change their country's name to the ‘Republic of North Macedonia’.,ತಮ್ಮ ದೇಶದ ಹೆಸರನ್ನು “ಉತ್ತರ ಮೆಸಿಡೋನಿಯಾ ಗಣರಾಜ್ಯ” ಎಂದು ಬದಲಾಯಿಸಬೇಕೋ ಅಥವಾ ಬೇಡವೋ ಎಂಬುದನ್ನು ನಿರ್ಧರಿಸಲು ಮತದಾರರು ರವಿವಾರದಂದು ಮತ ಚಲಾಯಿಸುತ್ತಾರೆ.
"The popular vote was set up in a bid to resolve a decades-long dispute with neighbouring Greece, which has its own province called Macedonia.",ಮೆಸಿಡೋನಿಯಾ ಎಂಬ ಹೆಸರಿನ ತನ್ನದೇ ಆದ ಪ್ರಾಂತ್ಯ ಹೊಂದಿದ್ದ ನೆರೆರಾಜ್ಯ ಗ್ರೀಸ್ ಜೊತೆಗಿನ ಹಲವಾರು ದಶಕಗಳ ವ್ಯಾಜ್ಯವನ್ನು ಬಗೆ ಹರಿಸುವ ನಿಟ್ಟಿನಲ್ಲಿ ಈ ಜನಮತವನ್ನು ಏರ್ಪಡಿಸಲಾಗಿತ್ತು.
Athens has long insisted that its northern neighbour's name represents a claim on its territory and has repeatedly objected to its membership bids for the EU and NATO.,ಅಥೆನ್ಸ್ ಕೂಡ ತನ್ನ ಉತ್ತರದ ನೆರೆರಾಜ್ಯದ ಹೆಸರು ಅದರ ಪ್ರದೇಶದ ಮೇಲೆ ಸ್ವಾಮ್ಯವನ್ನು ಪ್ರತಿನಿಧಿಸುತ್ತದೆ ಎಂದು ಒತ್ತಿ ಹೇಳುತ್ತಾ ಬಂದಿದೆ ಮತ್ತು EU ಹಾಗೂ NATO ಸದಸ್ಯತ್ವ ಪಡೆಯುವ ಅದರ ಪ್ರಯತ್ನಗಳನ್ನು ಮೇಲಿಂದ ಮೇಲೆ ಆಕ್ಷೇಪಿಸಿದೆ.
"Macedonian President Gjorge Ivanov, an opponent of the plebiscite on the name change, has said he will disregard the vote.","ಹೆಸರು ಬದಲಾವಣೆಗಾಗಿ ಮತ ಸಂಗ್ರಹಿಸುವುದನ್ನು ವಿರೋಧಿಸುವ ಮೆಸಿಡೋನಿಯಾದ ಅಧ್ಯಕ್ಷರಾದ ಗ್ಯೋರ್ಗೆ ಇವಾನೋವ್‍‍ರವರು, ಮತವನ್ನು ಗೌರವಿಸುವುದಿಲ್ಲ ಎಂದು ಹೇಳಿದ್ದಾರೆ."
"However, supporters of the referendum, including Prime Minister Zoran Zaev, argue that the name change is simply the price to pay to join the EU and NATO.","ಆದಾಗ್ಯೂ, ಪ್ರಧಾನ ಮಂತ್ರಿ ಝೋರಾನ್ ಝೈವ್ ಸೇರಿದಂತೆ ಜನಮತಸಂಗ್ರಹದ ಬೆಂಬಲಿಗರು ವಾದದ ಪ್ರಕಾರ ಹೆಸರು ಬದಲಾಯಿಸುವುದು EU ಮತ್ತು NATO ಸದಸ್ಯತ್ವ ಪಡೆಯಲು ತೆರುವ ಬೆಲೆಯಾಗಿದೆ ಅಷ್ಟೇ."
The Bells of St. Martin’s Fall Silent as Churches in Harlem Struggle,ಹಾರ್ಲೆಮ್ ಚರ್ಚ್ಗಳು ಕಷ್ಟಪಡುತ್ತಿರುವಾಗ ಸೇಂಟ್ ಮಾರ್ಟಿನ್ ಗಂಟೆಗಳು ನಿಶ್ಯಬ್ದವಾಗಿವೆ.
"‘Historically, the old people I’ve talked to say there was a bar and a church on every corner,’ Mr Adams said.","ಶ್ರೀಯುತ ಆಡಮ್ಸ್ ಹೇಳಿದರು, “ಐತಿಹಾಸಿಕವಾಗಿ ನೋಡಿದಾಗ ಪ್ರತಿಯೊಂದು ಮೂಲೆಯಲ್ಲಿ ಒಂದು ಬಾರ್ ಮತ್ತು ಒಂದು ಚರ್ಚ್ ಇತ್ತು ಎಂದು ನಾನು ಮಾತನಾಡಿಸಿದ ವಯೋವೃದ್ಧರು ಹೇಳುತ್ತಾರೆ.”"
"‘Today, there’s neither.’","""ಇವತ್ತು, ಅಲ್ಲಿ ಎರಡೂ ಇಲ್ಲ""."
He said the disappearance of bars was understandable.,ಬಾರ್‌ಗಳು ಮಾಯವಾದ ವಿಚಾರ ಅರ್ಥ ಮಾಡಿಕೊಳ್ಳಬಹುದು ಎಂದು ಅವರು ಹೇಳಿದರು.
"‘People socialise in a different way’ nowadays, he said.",ಇಂದಿನ ದಿನಮಾನಗಳಲ್ಲಿ “ಜನರು ವಿಭಿನ್ನ ರೀತಿಯಲ್ಲಿ ಪರಸ್ಪರ ಬೆರೆಯುತ್ತಾರೆ” ಎಂದು ಅವರು ತಿಳಿಸಿದರು.
‘Bars are no longer neighbourhood living rooms where people go on a regular basis.’,“ಇವತ್ತು ಬಾರ್‌ಗಳು ಜನರು ನಿಯಮಿತವಾಗಿ ಹೋಗಿ ಬರುವ ಪಕ್ಕದ ಆರಾಮದಾಯಕ ಮನೆಗಳಾಗಿ ಉಳಿದಿಲ್ಲ.”
"As for churches, he worries that the money from selling assets will not last as long as leaders expect it to, ‘and sooner or later they'll be right back where they started.’","ಇನ್ನು ಚರ್ಚ್‌ಗಳ ಬಗ್ಗೆ ಹೇಳುವುದಾದರೆ, ಆಸ್ತಿ ಮಾರಿ ಬಂದ ಹಣ ನಾಯಕರು ಅಂದುಕೊಂಡಷ್ಟು ದೀರ್ಘಕಾಲ ಉಳಿಯುವುದಿಲ್ಲ, “ಮತ್ತು ಇವತ್ತಲ್ಲ ನಾಳೆ ಅವರು ಎಲ್ಲಿಂದ ಪ್ರಯಾಣ ಶುರು ಮಾಡಿದ್ದರೋ ಅಲ್ಲಿಗೆ ಮರಳುತ್ತಾರೆ” ಎಂದು ಅವರು ಚಿಂತಿಸುತ್ತಾರೆ."
"Churches, he added, could be replaced by apartment buildings with condominiums filled with the kind of people who will not help the neighbourhood's remaining sanctuaries.","ಅವರು ಇನ್ನೂ ಮುಂದುವರೆದು ಹೇಳಿದರು, ಚರ್ಚುಗಳನ್ನು ತೆಗೆದು ಕಾಂಡೊಮೀನಿಯಮ್‍‍ಗಳನ್ನು ಒಳಗೊಂಡ ಅಪಾರ್ಟ್‍‍ಮೆಂಟ್ ಕಟ್ಟಡಗಳನ್ನು ನಿರ್ಮಿಸಬಹುದು ಮತ್ತು ತಮ್ಮ ನೆರೆಹೊರೆಯವರಿಗೆ ಸಹಾಯ ಮಾಡುವ ಪ್ರವೃತ್ತಿ ಇಲ್ಲದ ಜನರು ಈ ಕಟ್ಟಡಗಳಲ್ಲಿ ವಾಸಿಸಬಹುದು."
"‘The overwhelming majority of people who buy condominiums in these buildings will be white,’ he said, ‘and therefore will hasten the day that these churches close altogether because it is unlikely that most of these people who move into these condominiums will become members of these churches.’","“ಈ ಕಟ್ಟಡಗಳಲ್ಲಿ ಕಾಂಡೊಮೀನಿಯಮ್‍‍‍ಗಳನ್ನು ಖರೀದಿಸುವ ಜನರಲ್ಲಿ ಹೆಚ್ಚಿನವರು ಬಿಳಿಯರಾಗಿರುತ್ತಾರೆ. ಈ ಚರ್ಚುಗಳು ಒಟ್ಟಿಗೆ ಮುಚ್ಚಿ ಹೋಗುವ ದಿನ ಬೇಗ ಬರಲಿ ಎಂದು ಬಯಸುತ್ತಾರೆ, ಏಕೆಂದರೆ ಈ ಕಾಂಡೊಮೀನಿಯಮ್‍‍ಗಳಲ್ಲಿ ವಾಸಿಸಲು ಬರುವ ಜನರು ಈ ಚರ್ಚ್‍‍ಗಳ ಸದಸ್ಯರಾಗುವುದು ದೂರದ ಮಾತು” ಎಂದು ಹೇಳಿದರು."
"Both churches were built by white congregations before Harlem became a black metropolis - Metropolitan Community in 1870, St. Martin's a decade later.",ಹಾರ್ಲೆಮ್ ಕರಿಯರ ರಾಜಧಾನಿಯಾಗುವ ಮುಂಚೆ - ಅಂದರೆ 1870 ರಲ್ಲಿ ಮಹಾನಗರ ಸಮುದಾಯವಾಗುವ ಮತ್ತು ದಶಕಗಳ ನಂತರ ಸೇಂಟ್ ಮಾರ್ಟಿನ್ಸ್ ಅಂತಹ ಸಮುದಾಯವಾಗುವ ಮುಂಚೆ ಎರಡೂ ಚರ್ಚ್‌ಗಳನ್ನು ಬಿಳಿ ಧಾರ್ಮಿಕ ಸಮೂಹಗಳು ನಿರ್ಮಿಸಿದವು.
The original white Methodist congregation moved out in the 1930s.,ಮೂಲ ಬಿಳಿಯರ ಮೆಥಡಿಸ್ಟ್ ಧಾರ್ಮಿಕ ಸಮೂಹವು 1930 ರ ದಶಕದಲ್ಲಿ ಹೊರ ಹೋಯಿತು.
A black congregation that had been worshiping nearby took title to the building.,ಹತ್ತಿರದಲ್ಲೇ ಪೂಜೆ ಮಾಡುತ್ತಿದ್ದ ಕರಿಯರ ಧಾರ್ಮಿಕ ಸಮೂಹವು ಕಟ್ಟಡದ ಸ್ವಾಧೀನ ಪಡೆದುಕೊಂಡಿತು.
"St. Martin's was taken over by a black congregation under the Rev. John Howard Johnson, who led a boycott of retailers on 125th Street, a main street for shopping in Harlem, who resisted hiring or promoting blacks.",ರೆವರೆಂಡ್ ಜಾನ್ ಹಾವರ್ಡ್ ಜಾನ್ಸನ್ ಇವರ ನೇತೃತ್ವದಲ್ಲಿ ಕರಿಯರ ಧಾರ್ಮಿಕ ಸಮೂಹವು ಸೇಂಟ್ ಮಾರ್ಟಿನ್ಸ್ ಅನ್ನು ತನ್ನ ಅಧೀನಕ್ಕೆ ತೆಗೆದುಕೊಂಡಿತು. ರೆವರೆಂಡ್ ಜಾನ್ ಹಾವರ್ಡ್ ಜಾನ್ಸನ್ ಅವರು ಕರಿಯರನ್ನು ಕೆಲಸಕ್ಕೆ ತೆಗೆದುಕೊಳ್ಳದ ಅಥವಾ ಅವರಿಗೆ ಭಡ್ತಿ ನೀಡಲು ನಿರಾಕರಿಸುತ್ತಿದ್ದ ಹಾರ್ಲೆಮ್ ನ ಮುಖ್ಯ ಬೀದಿಯಾದ 125ನೇ ಬೀದಿಯಲ್ಲಿದ್ದ ಚಿಲ್ಲರೆ ವ್ಯಾಪಾರಿಗಳ ವಿರುದ್ಧ ಹೋರಾಟದ ಮುಂದಾಳತ್ವ ವಹಿಸಿದ್ದರು.
"A fire in 1939 left the building badly damaged, but as Father Johnson's parishioners made plans to rebuild, they commissioned the carillon.","1939 ರಲ್ಲಿ ಉಂಟಾದ ಅಗ್ನಿ ದುರಂತದಲ್ಲಿ ಕಟ್ಟಡವು ಸಾಕಷ್ಟು ಹಾನಿಗೊಂಡಿತು. ಆದರೆ ಫಾದರ್‍ ಜಾನ್ಸನ್ ಅವರ ಪ್ಯಾರಿಶ್ ಅನುಯಾಯಿಗಳು ಕಟ್ಟಡವನ್ನು ಮರುನಿರ್ಮಾಣ ಮಾಡುವ ಯೋಜನೆ ಹೊಂದಿದ್ದರಿಂದ, ಕ್ಯಾರಿಲಾನ್ ಗೆ ಆ ಕೆಲಸ ವಹಿಸಿದರು."
"The Rev. David Johnson, Father Johnson's son and successor at St. Martin's, proudly called the carillon ‘the poor people's bells’.","ಫಾದರ್‍ ಜಾನ್ಸನ್ ಇವರ ಪುತ್ರ ಮತ್ತು ಸೇಂಟ್ ಮಾರ್ಟಿನ್ಸ್ ಉತ್ತರಾಧಿಕಾರಿಯಾದ ರೆವರೆಂಡ್ ಡೇವಿಡ್ ಜಾನ್ಸನ್ ಕ್ಯಾರಿಲಾನ್ ಅನ್ನು ""ಬಡವರ ಗಂಟೆಗಳು"" ಎಂದು ಹೆಮ್ಮೆಯಿಂದ ಹೇಳಿದರು."
The expert who played the carillon in July called it something else: ‘A cultural treasure’ and ‘an irreplaceable historical instrument’.,"ಜುಲೈನಲ್ಲಿ ಕ್ಯಾರಿಲಾನ್ ನುಡಿಸಿದ ತಜ್ಞರು ಅದನ್ನು ಬೇರೆ ಹೆಸರಿನಿಂದ ಕರೆದರು: ""ಸಾಂಸ್ಕೃತಿಕ ಸ್ವತ್ತು"" ಮತ್ತು ""ಬದಲಿಸಲಾಗದ ಐತಿಹಾಸಿಕ ಉಪಕರಣ."""
"The expert, Tiffany Ng of the University of Michigan, also noted that it was the first carillon in the world to be played by a black musician, Dionisio A. Lind, who moved to the larger carillon at the Riverside Church 18 years ago.",ಇದು ಕಪ್ಪು ಸಂಗೀತಗಾರರಾದ ಡಿನಿಸಿಯೊ ಎ. ಲಿಂಡ್ ಅವರಿಂದ ನುಡಿಸಲ್ಪಟ್ಟ ಜಗತ್ತಿನ ಮೊದಲ ಕ್ಯಾರಿಲಾನ್ ಕೂಡ ಆಗಿತ್ತು ಎಂದು ಮಿಚಿಗನ್ ವಿಶ್ವವಿದ್ಯಾಲಯದ ತಜ್ಞರಾದ ಟಿಫನಿ Ng ತಿಳಿಸಿದರು. ಲಿಂಡ್ ಅವರು 18 ವರ್ಷಗಳ ಹಿಂದೆ ಇನ್ನೂ ದೊಡ್ಡ ಕ್ಯಾರಿಲಾನ್ ನುಡಿಸಲು ರಿವರ್‍ ಸೈಡ್ ಚರ್ಚಿಗೆ ಸ್ಥಳಾಂತರಗೊಂಡಿದ್ದರು.
Mr Merriweather said that St Martin's did not replace him.,ಶ್ರೀಯುತ ಮೆರಿವೆದರ್‍ ಪ್ರಕಾರ ಸೇಂಟ್ ಮಾರ್ಟಿನ್ಸ್ ರವರು ಅವರನ್ನು ಬದಲಾಯಿಸಲಿಲ್ಲ.
"What has played out at St Martin's over the last few months has been a complicated tale of architects and contractors, some brought in by the lay leaders of the church, others by the Episcopal diocese.","ಕಳೆದ ಕೆಲವು ತಿಂಗಳುಗಳಲ್ಲಿ ಸೇಂಟ್ ಮಾರ್ಟಿನ್‍‍ನಲ್ಲಿ ಜರುಗಿದ ಸನ್ನಿವೇಶಗಳು ವಾಸ್ತುಶಿಲ್ಪಿಗಳು ಮತ್ತು ಗುತ್ತಿಗೆದಾರರ ಜಟಿಲತೆಗಳಿಂದ ಕೂಡಿದ್ದವು ಎಂದು ಹೇಳಬಹುದು. ಇವರಲ್ಲಿ ಕೆಲವರನ್ನು ಚರ್ಚಿನ ಲೇ ಲೀಡರ್‍‍‍‍ಗಳು ಕರೆ ತಂದರೆ, ಇನ್ನು ಕೆಲವರನ್ನು ಎಪಿಸ್ಕೋಪಲ್ ಡಯಸೀಸ್ ಕರೆ ತಂದಿತು."
"The vestry - the parish's governing body, made up of lay leaders - wrote the diocese in July with concerns that the diocese ‘would seek to pass along the costs’ to the vestry, even though the vestry had not been involved in hiring the architects and contractors the diocese sent in.","ಲೇ ಲೀಡರ್ ಗಳಿಂದಾದ ಪಾರಿಶ್ ನ ಆಡಳಿತ ಮಂಡಳಿಯಾದ ವೆಸ್ಟ್ರಿ ತನ್ನ ಜುಲೈದಲ್ಲಿ ಡಯಸೀಸ್ ಗೆ ಹೀಗೆ ಪತ್ರ ಬರೆಯುವ ಮೂಲಕ ತನ್ನ ಕಳವಳ ವ್ಯಕ್ತಪಡಿಸಿತು – ಡಯಸೀಸ್ ಕಳುಹಿಸುವ ವಾಸ್ತುಶಿಲ್ಪಿಗಳನ್ನು ಮತ್ತು ಗುತ್ತಿಗೆದಾರರನ್ನು ಕೆಲಸಕ್ಕೆ ತೆಗೆದುಕೊಳ್ಳುವುದರಲ್ಲಿ ವೆಸ್ಟ್ರಿ ಯಾವುದೇ ರೀತಿಯ ಜವಾಬ್ದಾರಿ ಹೊಂದಿರದಿದ್ದರೂ, ಡಯಸೀಸ್ ತನ್ನ “ವೆಚ್ಚಗಳನ್ನು ಪಾವತಿಸುವಂತೆ” ವೆಸ್ಟ್ರಿಗೆ ಸೂಚಿಸುತ್ತಿದೆ."
Some parishioners complained of a lack of transparency on the diocese's part.,ಕೆಲವು ಪಾರಿಶನರ್‍ಗಳು ಡಯಸೀಸ್ ಪಾತ್ರ ಪಾರದರ್ಶಕವಾಗಿಲ್ಲ ಎಂದು ದೂರಿದರು.
Shark injures 13-year-old on lobster dive in California,ಕ್ಯಾಲಿಫೋರ್ನಿಯಾದಲ್ಲಿ ಲಾಬ್ ಸ್ಟರ್‍ ಡೈವ್ ಮಾಡುವಾಗ 13-ವರ್ಷದ ಮಗುವಿಗೆ ಗಾಯ ಮಾಡಿದ ಶಾರ್ಕ್
"A shark attacked and injured a 13-year-old boy Saturday while he was diving for lobster in California on the opening day of lobster season, officials said.",ಕ್ಯಾಲಿಫೋರ್ನಿಯಾದಲ್ಲಿ ಲಾಬ್ ಸ್ಟರ್ ಸೀಸನ್ ಆರಂಭವಾದ ದಿನದಂದು ಲಾಬ್ ಸ್ಟರ್ ಹಿಡಿಯಲೆಂದು ನೀರಿಗೆ ಜಿಗಿದ 13-ವರ್ಷದ ಹುಡುಗನ ಮೇಲೆ ಶಾರ್ಕ್ ದಾಳಿ ಮಾಡಿ ಗಾಯಗೊಳಿಸಿತು ಎಂದು ಅಧಿಕಾರಿಗಳು ಹೇಳಿದರು.
The attack occurred just before 7 a.m. near Beacon's Beach in Encinitas.,ಎನ್ಸಿನಿಟಸ್ ದಲ್ಲಿರುವ ಬೇಕನ್ಸ್ ಬೀಚ್ ಹತ್ತಿರ ಬೆಳಗ್ಗೆ 7 ಗಂಟೆಗೆ ಸ್ವಲ್ಪ ಮುಂಚೆ ಈ ದಾಳಿ ಸಂಭವಿಸಿದೆ.
Chad Hammel told KSWB-TV in San Diego he had been diving with friends for about half an hour Saturday morning when he heard the boy screaming for help and paddled over with a group to help pull him out of the water.,ಸ್ಯಾನ್ ಡಿಯೇಗೊದಲ್ಲಿ KSWB-TV ಜೊತೆ ಮಾತನಾಡಿದ ಚ್ಯಾಡ್ ಹ್ಯಾಮಲ್ ಪ್ರಕಾರ ಅವರು ಶನಿವಾರ ಬೆಳಗ್ಗೆ ಸ್ನೇಹಿತರೊಡನೆ ಸುಮಾರು ಅರ್ಧ ಗಂಟೆವರೆಗೆ ಡೈವಿಂಗ್ ಮಾಡುತ್ತಿರುವ ವೇಳೆ ಹುಡುಗನೊಬ್ಬ ಸಹಾಯ ಮಾಡುವಂತೆ ಕೂಗುವುದನ್ನು ಕೇಳಿಸಿಕೊಂಡರು ಮತ್ತು ಒಂದು ಗುಂಪಿನ ಜೊತೆ ಹಡಗಿನಲ್ಲಿ ಹೋಗಿ ಹುಡುಗನನ್ನು ನೀರಿನಿಂದ ಹೊರಗೆ ತೆಗೆದರು.
"Hammel said at first he thought it was just excitement of catching a lobster, but then he ‘realised that he was yelling, “I got bit!",'ಮೊದಲೆಲ್ಲ ಅದು ಲಾಬ್‍‍ಸ್ಟರ್‍ ಹಿಡಿಯುತ್ತಿರುವ ಹುಡುಗನ ಉತ್ಸಾಹದ ಕೂಗುಗಳೆಂದು ಹ್ಯಾಮಲ್ ಅಂದುಕೊಂಡರಂತೆ. ಆದರೆ ಗಮನವಿಟ್ಟು ಕೇಳಿದಾಗ ಆ ಹುಡುಗ ನೋವಿನಿಂದ 'ನನ್ನನ್ನು ಕಚ್ಚಿದೆ!' ಎಂದು ಕೂಗುತ್ತಿದ್ದಾನೆಂದು ಗೊತ್ತಾಯಿತಂತೆ.
