en,te
Tom's career is over.,టామ్ కెరీర్ ముగిసింది.
Tom put the kids to bed.,టోమ్ పిల్లలను మంచానికి పంపాడు.
"Tom is the only person who can do that, I think.","టామ్ మాత్రమే అలా చేయగలడు, నేను అనుకుంటున్నాను."
I recognized him immediately.,నేను వెంటనే అతన్ని గుర్తించాను.
Today is my sixteenth birthday.,ఈ రోజు నా పదహారవ పుట్టినరోజు.
I want to wash my hair.,నేను నా జుట్టు కడగాలి.
Hindi language is known as Hindustan ki Bhasha.,హిందీ హిందూస్తాన్ భాష.
How are you,ఎలా మీరు?
The girl I wanted to marry married somebody else.,నేను వివాహం చేసుకోవాలనుకున్న అమ్మాయి వేరొకరిని వివాహం చేసుకుంది.
The dining room has two doors.,భోజనాల గదికి రెండు తలుపులు ఉన్నాయి.
We were eating apples.,మేము ఆపిల్ తింటున్నాము.
Where are you going,మీరు ఎక్కడికి వెళ్తున్నారు?
I used to cry a lot.,నేను చాలా ఏడుస్తాను.
Tom didn't even know who Mary was.,టామ్ మేరీ ఎవ్వరినీ తెలియదు.
Tom will need your help.,టామ్‌కు మీ సహాయం కావాలి.
Here's where they usually have dinner.,ఇక్కడ వారు సాధారణంగా విందు చేస్తారు.
Tom was the one who got punished.,టోమ్ శిక్ష అనుభవించిన వ్యక్తి.
Sai is feeling good,ఆమె మెరుగైన అనుభూతి ఉంది
I've been to the supermarket.,నేను సూపర్ మార్కెట్‌కు వెళ్లాను.
Very very good,చాలా చాలా మంచిది
Where are you?,మీరు ఎక్కడ ఉన్నారు?
The tea is very tasty.,టీ చాలా రుచికరమైన ఉంది.
That's what we're waiting for.,మేము ఆ వేడుక కోసం ఎదురుచూస్తున్నాము.
That actress is as beautiful as ever.,నటి ఎప్పుడూ వంటి అందమైన ఉంది.
I've been to the dentist's.,నేను దంతవైద్యుడు వెళ్ళింది.
Tom and Mary are both right.,టామ్ మరియు మేరీ ఇద్దరూ సరైనవారు.
Both boys and girls should take cooking class in school.,బాలురు మరియు బాలికలు ఇద్దరూ పాఠశాలలో వంట తరగతి తీసుకోవాలి.
That was an experience.,అది ఒక అనుభవం.
Father usually comes home at eight.,తండ్రి సాధారణంగా ఎనిమిది గంటలకు ఇంటికి వస్తాడు.
Tom wants to end this.,టామ్ ఈ ముగింపు కోరుకుంటున్నారు.
Can I offer a suggestion?,నేను మీకు కొన్ని సలహా ఇవ్వగలనా?
You can't be so sure.,మీరు చాలా ఖచ్చితంగా కాదు.
There's not enough time to eat now.,ఇప్పుడు తినడానికి తగినంత సమయం లేదు.
The tea is very tasty.,టీ చాలా రుచికరమైనది.
I do think people will use it.,ప్రజలు దీనిని ఉపయోగిస్తారని నేను అనుకుంటున్నాను.
We're going to be here all afternoon.,మేము ఇక్కడ అన్ని మధ్యాహ్నం ఉంటుంది.
We go to school together.,మేమిద్దరం కలిసి బడికి వెళ్తాం.
Stop acting like such a fool.,అలాంటి ఒక మూర్ఖుడు వంటి ప్రవర్తన ఆపడానికి.
"My mother is a teacher, too.",నా తల్లి కూడా టీచర్.
Swami Vivekananda was a disciple of the great Indian saint.,స్వామి వివేకానంద గొప్ప భారతీయ సాధువు శిష్యుడు.
How many English words do you know?,ఎన్ని ఆంగ్ల పదాలు మీరు తెలుసు?
Tom has written down a list of things we need to do.,మనం చేయవలసిన విషయాల జాబితాను టామ్ రాశాడు.
Didn't you know Tom and Mary often travel together?,టామ్ మరియు మేరీ తరచుగా కలిసి ప్రయాణిస్తారని మీకు తెలియదా?
We're running short of food.,మేము ఆహారం తక్కువగా ఉన్నాము.
"Mary's not pretty, but she isn't ugly, either.","మేరీ అందంగా లేదు, కానీ ఆమె అగ్లీ కాదు."
Why are running very slowly?,ఎందుకు వారు చాలా నెమ్మదిగా నడుస్తున్న?
"Why don't you leave, Tom?","టామ్, ఎందుకు మీరు వెళ్ళి లేదు?"
I don't have a Twitter account.,నాకు ట్విట్టర్ ఖాతా లేదు.
You recovered quickly.,మీరు త్వరగా కోలుకున్నారు.
i am very tired,నేను బాగా అలసిపోయాను
We're not worried about that at all.,మేము దాని గురించి ఆందోళన లేదు.
Tom has earned a lot of money.,టోమ్ చాలా డబ్బు సంపాదించాడు.
Some boys came into the classroom.,కొందరు అబ్బాయిలు తరగతి గదిలోకి వచ్చారు.
You must get rid of such a habit.,మీరు ఆ అలవాటు వదిలించుకోవటం అవసరం.
We started to walk.,మేము నడవడం ప్రారంభించాము.
A nod is as good as a wink to a blind horse.,గుడ్డి గుర్రానికి వింక్ చేసినంత మంచిది.
Tom's sister paved the way for him to become a lawyer.,టామ్ సోదరి అతనికి న్యాయవాదిగా మారడానికి మార్గం సుగమం చేసింది.
Mary demanded her money back.,మేరీ తన డబ్బును తిరిగి కోరుతూ.
Both spellings are correct.,రెండు స్పెల్లింగ్లు సరైనవి.
Going to Nellore to Vellore.,వారు నెల్లోర్ నుండి Valar వెళ్తున్నారు.
Don't come dressed like bums.,ఒక బూడిద వంటి దుస్తులు లేదు.
Isn't that the Golden Gate Bridge?,అది గోల్డెన్ గేట్ వంతెన కాదా?
Tom is old enough to drive.,టామ్ డ్రైవింగ్ చేయడానికి తగినంత వయస్సులో ఉన్నాడు.
Mary is Tom's daughter-in-law.,మేరీ టామ్ యొక్క అల్లుడు.
I know why Tom agreed to do that.,టామ్ ఎందుకు అంగీకరించాడో నాకు తెలుసు.
Native house,స్థానిక ఇల్లు
Have you ever climbed Mt. Fuji?,మీరు ఎప్పుడైనా మౌంట్ ఎక్కింది?
school,పాఠశాల
Mom did not mention it.,నా తల్లి అది ప్రస్తావించలేదు.
We're not accusing you of anything.,మేము నిన్ను ఏ విషయంలోనూ నిందించడం లేదు.
This doesn't happen very often.,ఇది చాలా తరచుగా జరగదు.
The teacher wrote French words on the blackboard.,ఉపాధ్యాయుడు బ్లాక్బోర్డుపై ఫ్రెంచ్ పదాలను రాశాడు.
Don't come dressed like bums.,బంస్ లాగా దుస్తులు ధరించవద్దు.
I've read every book on this shelf.,నేను ఈ షెల్ఫ్‌లోని ప్రతి పుస్తకాన్ని చదివాను.
Tom can fix the heater.,టామ్ హీటర్ను పరిష్కరించగలడు.
Isn't that the Golden Gate Bridge?,ఇది గోల్డెన్ గేట్ బ్రిడ్జ్?
You know I love you!,నేను నిన్ను ప్రేమిస్తున్నానని నీకు తెలుసు!
