en,te
I must've left my wallet at home.,నేను తప్పనిసరిగా నా వాలెట్‌ను ఇంట్లో వదిలిపెట్టాను.
Where did you get all this stuff?,ఈ విషయాలన్నీ మీకు ఎక్కడ లభించాయి?
That's his weak spot.,అది అతని బలహీనమైన ప్రదేశం.
I think Tom is gone.,టామ్ పోయిందని అనుకుంటున్నాను.
Come here.,ఇక్కడికి రండి.
Tom is always crying.,టామ్ ఎప్పుడూ ఏడుస్తూనే ఉంటాడు.
We took him to the hospital.,మేము అతన్ని ఆసుపత్రికి తీసుకువెళ్ళాము.
We traveled to Mexico by plane.,మేము విమానంలో మెక్సికోకు వెళ్ళాము.
Don't dress like a tourist.,పర్యాటకుడిలా దుస్తులు ధరించవద్దు.
I don't support his ideas.,నేను అతని ఆలోచనలకు మద్దతు ఇవ్వను.
Remember what we spoke about yesterday.,మేము నిన్న మాట్లాడినదాన్ని గుర్తుంచుకోండి.
Give a thief enough rope and he'll hang himself.,ఒక దొంగకు తగినంత తాడు ఇవ్వండి మరియు అతను ఉరి వేసుకుంటాడు.
Am I making myself clear?,నేను స్పష్టంగా తెలుపుతున్నానా?
Tom sometimes agrees with me.,టామ్ కొన్నిసార్లు నాతో అంగీకరిస్తాడు.
Tom's daughter is now thirteen.,టామ్ కుమార్తెకు ఇప్పుడు పదమూడు సంవత్సరాలు.
My doctor told me that I needed to lose some weight.,నేను కొంత బరువు తగ్గాల్సిన అవసరం ఉందని నా డాక్టర్ చెప్పారు.
Tom was stupid enough to challenge Mary to a game of chess.,"టామ్ తెలివితక్కువవాడు, చెస్ ఆటకు మేరీని సవాలు చేసేవాడు."
Where do you plan to spend the summer?,వేసవిని ఎక్కడ గడపాలని మీరు ప్లాన్ చేస్తున్నారు?
She drives an imported car.,ఆమె దిగుమతి చేసుకున్న కారును నడుపుతుంది.
They keep calling.,వారు కాల్ చేస్తూనే ఉంటారు.
You can't take it with you.,మీరు దానిని మీతో తీసుకోలేరు.
"You've never had a boyfriend, have you?","మీకు ఎప్పుడూ బాయ్‌ఫ్రెండ్ లేరు, లేదా?"
Japan is subject to earthquakes.,జపాన్ భూకంపాలకు లోబడి ఉంది.
Tom doesn't want to go there alone.,టామ్ ఒంటరిగా అక్కడికి వెళ్లడం ఇష్టం లేదు.
I'm considering becoming a French teacher.,నేను ఫ్రెంచ్ ఉపాధ్యాయుడిగా మారాలని ఆలోచిస్తున్నాను.
Let's sit down on the bench.,బెంచ్ మీద కూర్చుందాం.
Tom should've stayed at home.,టామ్ ఇంట్లో ఉండి ఉండాలి.
Tom and Mary are planning to get a divorce.,టామ్ మరియు మేరీ విడాకులు తీసుకోవాలని యోచిస్తున్నారు.
Tom's sister paved the way for him to become a lawyer.,టామ్ సోదరి అతనికి న్యాయవాదిగా మారడానికి మార్గం సుగమం చేసింది.
I want you to give a message to Tom.,మీరు టామ్‌కు సందేశం ఇవ్వాలనుకుంటున్నాను.
I love comedies.,నాకు కామెడీలు చాలా ఇష్టం.
The couple broke off their engagement.,ఈ జంట వారి నిశ్చితార్థాన్ని విరమించుకున్నారు.
How much money do we need?,మనకు ఎంత డబ్బు అవసరం?
Tom is probably still hiding.,టామ్ బహుశా ఇప్పటికీ దాక్కున్నాడు.
He predicted she would win.,ఆమె గెలుస్తుందని అతను icted హించాడు.
He often gets sick.,అతను తరచుగా అనారోగ్యానికి గురవుతాడు.
Tom isn't a student.,టామ్ విద్యార్థి కాదు.
Tom said you were busy.,టామ్ మీరు బిజీగా ఉన్నారని చెప్పారు.
The party finished at nine.,పార్టీ తొమ్మిదికి ముగిసింది.
Tom and I are going to the mall.,టామ్ మరియు నేను మాల్‌కు వెళ్తున్నాము.
Let's not fool ourselves.,మనల్ని మనం మోసం చేసుకోనివ్వండి.
Tom noticed Mary was there.,మేరీ అక్కడ ఉన్నట్లు టామ్ గమనించాడు.
I'm feeding my baby.,నేను నా బిడ్డకు ఆహారం ఇస్తున్నాను.
Tom wants to play tennis with Mary.,టామ్ మేరీతో టెన్నిస్ ఆడాలనుకుంటున్నాడు.
Ain't that cute?,అది క్యూట్ కాదా?
Both of us should lose some weight.,మా ఇద్దరికీ కొంత బరువు తగ్గాలి.
Tom is a hot-blooded individual.,టామ్ హాట్ బ్లడెడ్ వ్యక్తి.
Tom thinks that he's always right.,టామ్ అతను ఎప్పుడూ సరైనవాడు అని అనుకుంటాడు.
President Monroe was a slave-owner.,అధ్యక్షుడు మన్రో బానిస యజమాని.
The sky was gray all morning.,ఉదయం అంతా ఆకాశం బూడిద రంగులో ఉంది.
They are going to send up a rocket.,వారు రాకెట్ పంపబోతున్నారు.
Tom works at a nearby restaurant.,టామ్ సమీపంలోని రెస్టారెంట్‌లో పనిచేస్తాడు.
Stop hiding your head in the sand.,మీ తలని ఇసుకలో దాచడం మానేయండి.
I helped.,నేను సహాయం చేసాను.
I think that it's time for us to tell Tom the truth.,టామ్‌కు నిజం చెప్పే సమయం ఆసన్నమైందని నేను భావిస్తున్నాను.
He has a Toyota.,అతనికి టయోటా ఉంది.
The house requires repairs.,ఇంటికి మరమ్మతులు అవసరం.
"My mother is a teacher, too.",నా తల్లి కూడా టీచర్.
Nobody said a thing.,ఎవరూ ఏమీ అనలేదు.
I use Google almost every day.,నేను దాదాపు ప్రతిరోజూ గూగుల్‌ని ఉపయోగిస్తాను.
Whales feed on small fish.,తిమింగలాలు చిన్న చేపలను తింటాయి.
Both Tom and I'll be busy this afternoon.,టామ్ మరియు నేను ఇద్దరూ ఈ మధ్యాహ్నం బిజీగా ఉంటాము.
Don't you watch movies?,మీరు సినిమాలు చూడలేదా?
Didn't you know Tom and Mary often travel together?,టామ్ మరియు మేరీ తరచుగా కలిసి ప్రయాణిస్తారని మీకు తెలియదా?
"Unfortunately, that's true.","దురదృష్టవశాత్తు, అది నిజం."
I don't find that very funny.,నేను చాలా ఫన్నీగా కనిపించడం లేదు.
Tom refused to help Mary.,టామ్ మేరీకి సహాయం చేయడానికి నిరాకరించాడు.
I see life differently now.,నేను ఇప్పుడు జీవితాన్ని భిన్నంగా చూస్తున్నాను.
Who is your favorite pianist?,మీకు ఇష్టమైన పియానిస్ట్ ఎవరు?
I saw Tom in church today.,నేను ఈ రోజు చర్చిలో టామ్‌ను చూశాను.
That's what we're waiting for.,దాని కోసం మేము ఎదురు చూస్తున్నాము.
"Mary is a pretty girl, isn't she?","మేరీ ఒక అందమైన అమ్మాయి, ఆమె కాదా?"
I strongly suspected that he had been lying.,అతను అబద్ధం చెప్పాడని నేను గట్టిగా అనుమానించాను.
Tom sells cars.,టామ్ కార్లను విక్రయిస్తాడు.
Tom looked both ways before crossing the road.,టామ్ రోడ్డు దాటడానికి ముందు రెండు మార్గాలు చూశాడు.
Shadow him.,అతనికి నీడ.
I let him get the credit.,నేను అతనిని క్రెడిట్ పొందటానికి అనుమతించాను.
Did you forget to feed the dog?,మీరు కుక్కకు ఆహారం ఇవ్వడం మర్చిపోయారా?
I've always known that this would happen someday.,ఇది ఏదో ఒక రోజు జరుగుతుందని నాకు తెలుసు.
Tom wanted to quit smoking.,టామ్ ధూమపానం మానేయాలని అనుకున్నాడు.
I expect a detailed report.,నేను ఒక వివరణాత్మక నివేదికను ఆశిస్తున్నాను.
We have nothing in common.,మాకు ఉమ్మడిగా ఏమీ లేదు.
She's busy.,ఆమె బిజీగా ఉంది.
Carry on with your work.,మీ పనిని కొనసాగించండి.
Tom continued laughing.,టామ్ నవ్వుతూనే ఉన్నాడు.
How do you like that?,మీకు అది ఎలా ఇష్టం?
Tom is old enough to drive.,టామ్ డ్రైవ్ చేసేంత వయస్సు.
Tom and I walk to school together every morning.,టామ్ మరియు నేను ప్రతి ఉదయం కలిసి పాఠశాలకు నడుస్తాము.
Will anybody be at the station to meet me?,నన్ను కలవడానికి ఎవరైనా స్టేషన్‌లో ఉంటారా?
I don't think that everyone is here yet.,అందరూ ఇంకా ఇక్కడ ఉన్నారని నేను అనుకోను.
This is the hottest summer that we have had in thirty years.,ముప్పై ఏళ్ళలో మనకు ఉన్న హాటెస్ట్ వేసవి ఇది.
Don't Tom and Mary work together?,టామ్ మరియు మేరీ కలిసి పనిచేయలేదా?
We had a chance.,మాకు అవకాశం వచ్చింది.
The rice crop is poor this year.,ఈ సంవత్సరం వరి పంట పేలవంగా ఉంది.
I want to write this down.,నేను దీనిని వ్రాయాలనుకుంటున్నాను.
Please forgive me. I didn't mean to be rude.,దయచేసి నన్ను క్షమించు.
Asia is roughly four times the size of Europe.,ఆసియా యూరప్ కంటే నాలుగు రెట్లు ఎక్కువ.
Tom told Mary that John was looking for her.,జాన్ తన కోసం చూస్తున్నాడని టామ్ మేరీకి చెప్పాడు.
I made tea for Tom.,నేను టామ్ కోసం టీ తయారు చేసాను.
You must get rid of such a habit.,మీరు అలాంటి అలవాటును వదిలించుకోవాలి.
We weren't prepared for what happened.,ఏమి జరిగిందో మేము సిద్ధంగా లేము.
What is the best concert you've ever been to?,మీరు ఇప్పటివరకు చేసిన ఉత్తమ కచేరీ ఏమిటి?
I forgot my password.,నేను నా పాస్వర్డ్ను మర్చిపోయాను.
Have you spent a lot of time with Tom?,మీరు టామ్‌తో చాలా సమయం గడిపారు?
Our train arrived on time.,మా రైలు సమయానికి వచ్చింది.
I know what I want.,నాకు ఏమి కావాలో నాకు తెలుసు.
I won't always be around.,నేను ఎప్పుడూ చుట్టూ ఉండను.
I've been to the dentist's.,నేను దంతవైద్యుని వద్దకు వెళ్లాను.
Maybe I shouldn't have done that.,బహుశా నేను అలా చేయకూడదు.
Where can I advertise for a used car?,ఉపయోగించిన కారు కోసం నేను ఎక్కడ ప్రకటన చేయవచ్చు?
I'm trying to stay calm.,నేను ప్రశాంతంగా ఉండటానికి ప్రయత్నిస్తున్నాను.
Why didn't you tell me all this before?,ఇవన్నీ మీరు ఇంతకు ముందు ఎందుకు నాకు చెప్పలేదు?
It's almost October.,ఇది దాదాపు అక్టోబర్.
Tom flew to Boston today.,టామ్ ఈ రోజు బోస్టన్‌కు వెళ్లాడు.
That pen is more expensive than this one.,ఆ పెన్ ఈ కన్నా ఖరీదైనది.
Tom wanted me to drive.,టామ్ నన్ను డ్రైవ్ చేయాలనుకున్నాడు.
Why do you think Tom wanted me to do that?,టామ్ నన్ను అలా చేయాలని ఎందుకు అనుకున్నాడు?
I have no money with me.,నా దగ్గర డబ్బు లేదు.
I've got a pain in my side.,నా వైపు నొప్పి వచ్చింది.
I think I feel better.,నేను బాగున్నాను.
I remember saying that.,నేను చెప్పినట్లు గుర్తు.
The worst is behind us.,చెత్త మన వెనుక ఉంది.
We've hired a new coach.,మేము కొత్త కోచ్‌ను నియమించాము.
Will you sing?,మీరు పాడతారా?
I know Tom is talkative.,టామ్ మాట్లాడేవాడు అని నాకు తెలుసు.
No one encouraged her.,ఎవరూ ఆమెను ప్రోత్సహించలేదు.
I don't really want to go fishing with Tom.,నేను నిజంగా టామ్‌తో చేపలు పట్టడానికి ఇష్టపడను.
Tom has a kind heart.,టామ్ దయగల హృదయాన్ని కలిగి ఉన్నాడు.
Tom said he didn't know how to swim very well.,టామ్ తనకు బాగా ఈత కొట్టడం తెలియదని చెప్పాడు.
He advised me not to believe what she says.,ఆమె చెప్పేది నమ్మవద్దని ఆయన నాకు సలహా ఇచ్చారు.
Take me to the Hilton Hotel.,నన్ను హిల్టన్ హోటల్‌కు తీసుకెళ్లండి.
We're not worried about that at all.,మేము దాని గురించి ఆందోళన చెందలేదు.
Tom threw Mary a life preserver.,టామ్ మేరీని లైఫ్ ప్రిజర్వర్‌గా విసిరాడు.
I was very excited.,నేను చాలా ఉత్సాహంగా ఉన్నాను.
I shouldn't have invited Tom to the party.,నేను టామ్‌ను పార్టీకి ఆహ్వానించకూడదు.
Did they ever find Tom?,వారు ఎప్పుడైనా టామ్‌ను కనుగొన్నారా?
Summer has just begun.,వేసవి ఇప్పుడే ప్రారంభమైంది.
It was impossible to find an answer.,సమాధానం కనుగొనడం అసాధ్యం.
Why did that have to happen to us?,అది మనకు ఎందుకు జరగాలి?
The first girl I ever kissed was Mary.,నేను ముద్దు పెట్టుకున్న మొదటి అమ్మాయి మేరీ.
I met him just as he was coming out of school.,అతను పాఠశాల నుండి బయటకు వస్తున్నప్పుడే నేను అతనిని కలుసుకున్నాను.
Tom's days are numbered.,టామ్ యొక్క రోజులు లెక్కించబడ్డాయి.
What do you call this animal in French?,మీరు ఈ జంతువును ఫ్రెంచ్ భాషలో ఏమని పిలుస్తారు?
I never asked you to do that.,నేను ఎప్పుడూ అలా చేయమని మిమ్మల్ని అడగలేదు.
Please inform me of any change in his condition.,దయచేసి అతని స్థితిలో ఏదైనా మార్పు గురించి నాకు తెలియజేయండి.
I won't have time this evening.,ఈ సాయంత్రం నాకు సమయం ఉండదు.
I can't find Tom anywhere.,నేను టామ్‌ను ఎక్కడా కనుగొనలేను.
Tom and Mary are close relatives.,టామ్ మరియు మేరీ దగ్గరి బంధువులు.
Tom doesn't know I have three cats.,నా దగ్గర మూడు పిల్లులు ఉన్నాయని టామ్ కి తెలియదు.
"How old are you, Tom?","టామ్, మీ వయస్సు ఎంత?"
Tom asked Mary some stupid questions that she refused to answer.,టామ్ మేరీకి కొన్ని తెలివితక్కువ ప్రశ్నలను అడిగారు.
Tom can't whistle.,టామ్ ఈల వేయలేడు.
Tom thinks we're dead.,మేము చనిపోయామని టామ్ భావిస్తాడు.
Mary demanded her money back.,మేరీ తన డబ్బును తిరిగి డిమాండ్ చేసింది.
Tom can't decide which approach to take.,ఏ విధానాన్ని తీసుకోవాలో టామ్ నిర్ణయించలేడు.
Where are you?,మీరు ఎక్కడ ఉన్నారు?
Tom is walking in college premises.,టామ్ కాలేజీ ఆవరణలో నడుస్తున్నాడు.
I don't know Malayalam.,నాకు మలయాళం రాదు.
I still love you very much.,నేను ఇప్పటికీ నిన్ను చాలా ప్రేమిస్తున్నాను.
I want to come back next year.,నేను వచ్చే ఏడాది తిరిగి రావాలనుకుంటున్నాను.
When are we going to use it?,మేము దానిని ఎప్పుడు ఉపయోగించబోతున్నాం?
That actress is as beautiful as ever.,ఆ నటి ఎప్పటిలాగే అందంగా ఉంది.
I don't think that Tom is ever going to get married.,టామ్ ఎప్పుడూ పెళ్లి చేసుకోబోతున్నాడని నేను అనుకోను.
We should wait for Tom.,మేము టామ్ కోసం వేచి ఉండాలి.
We succeeded.,మేము విజయం సాధించాము.
I think you should leave well enough alone.,మీరు ఒంటరిగా తగినంతగా వదిలివేయాలని నేను అనుకుంటున్నాను.
He was invited.,అతన్ని ఆహ్వానించారు.
They traveled together.,వారు కలిసి ప్రయాణించారు.
It's not known how many of them survived.,వారిలో ఎంతమంది ప్రాణాలతో బయటపడ్డారో తెలియదు.
Tom's handwriting is unreadable.,టామ్ చేతివ్రాత చదవలేనిది.
I don't think Tom killed Mary.,టామ్ మేరీని చంపాడని నేను అనుకోను.
He came back home a while ago.,అతను కొద్దిసేపటి క్రితం ఇంటికి తిరిగి వచ్చాడు.
Tom asked me for my phone number.,టామ్ నా ఫోన్ నంబర్ అడిగారు.
We're coming.,మేము వస్తున్నాము.
I wonder which way is the shortest.,ఏ మార్గం చిన్నది అని నేను ఆశ్చర్యపోతున్నాను.
"Lata Mangeshkar is a legendary Indian playback singer who has sung in over a thousand Hindi films, as well as in various other Indian and foreign languages.","లతా మంగేష్కర్ ఒక పురాణ భారతీయ నేపథ్య గాయని, ఆమె వెయ్యికి పైగా హిందీ చిత్రాలలో, అలాగే అనేక ఇతర భారతీయ మరియు విదేశీ భాషలలో పాడింది."
Vijayawada is situated on the banks of the Krishna River.,విజయవాడ కృష్ణా నది ఒడ్డున ఉంది.
Tom and Mary understood each other.,టామ్ మరియు మేరీ ఒకరినొకరు అర్థం చేసుకున్నారు.
"Many men want to be thin, too.",చాలా మంది పురుషులు కూడా సన్నగా ఉండాలని కోరుకుంటారు.
Shreya Ghoshal is a very popular and talented Indian playback singer.,శ్రేయా ఘోషల్ చాలా ప్రజాదరణ పొందిన మరియు ప్రతిభావంతులైన భారతీయ నేపథ్య గాయని.
I warned Tom not to come here.,టామ్‌ను ఇక్కడికి రానివ్వమని హెచ్చరించాను.
You two may leave.,మీరిద్దరూ వెళ్ళవచ్చు.
He feels very happy.,అతను చాలా సంతోషంగా ఉన్నాడు.
Tom wasn't smiling when he entered the room.,గదిలోకి ప్రవేశించినప్పుడు టామ్ నవ్వలేదు.
What can it be?,అది ఏమిటి?
Is your car black?,మీ కారు నల్లగా ఉందా?
We need three cups.,మాకు మూడు కప్పులు అవసరం.
How to learn English grammar in 30 days?,30 రోజుల్లో ఆంగ్ల వ్యాకరణాన్ని ఎలా నేర్చుకోవాలి?
It's likely a mistake.,ఇది పొరపాటు.
"Nellore has a rich history and cultural heritage, with several historical landmarks and temples that attract tourists from all over the world.","నెల్లూరుకు గొప్ప చరిత్ర మరియు సాంస్కృతిక వారసత్వం ఉంది, అనేక చారిత్రక ప్రదేశాలు మరియు దేవాలయాలు ప్రపంచం నలుమూలల నుండి పర్యాటకులను ఆకర్షిస్తాయి."
He left his parents when he was eight years old.,అతను ఎనిమిదేళ్ళ వయసులో తల్లిదండ్రులను విడిచిపెట్టాడు.
I got up at 8 o'clock today.,నేను ఈ రోజు 8 గంటలకు లేచాను.
I'm sure of this.,నేను ఈ విషయంలో ఖచ్చితంగా ఉన్నాను.
Tom will need to do that sooner or later.,టామ్ త్వరగా లేదా తరువాత చేయవలసి ఉంటుంది.
I know you can't wait.,మీరు వేచి ఉండలేరని నాకు తెలుసు.
Turn it off.,దాన్ని ఆపివేయండి.
Her explanation of the problem was nonsense.,సమస్య గురించి ఆమె వివరణ అర్ధంలేనిది.
I heard about what happened.,నేను ఏమి జరిగిందో విన్నాను.
We were supposed to tell everyone to leave.,మేము ప్రతి ఒక్కరినీ వదిలి వెళ్ళమని చెప్పాల్సి ఉంది.
What did you cook for dinner?,విందు కోసం మీరు ఏమి వండుకున్నారు?
I've heard this joke before.,ఈ జోక్ నేను ఇంతకు ముందు విన్నాను.
All you have to do is fill in this form.,మీరు చేయాల్సిందల్లా ఈ ఫారమ్ నింపండి.
Telugu to hindi translation,తెలుగు నుండి హిందీకి అనువాదం
Where are you from..?,నువ్వు ఎక్కడ నుంచి వచ్చావు..?
ram kills ravana.,రాముడు రావణుడిని చంపాడు.
Free books available,ఉచిత పుస్తకాలు అందుబాటులో ఉన్నాయి
Telugu is known as italian of the east.,తెలుగును ఇటాలియన్ ఆఫ్ ది ఈస్ట్ అని పిలుస్తారు.
What are the languages do you know?,మీకు తెలిసిన భాషలు ఏమిటి?
Hindi language is known as Hindustan ki Bhasha.,హిందీ భాషను హిందుస్థాన్ కి భాష అంటారు.
Going to Nellore to Vellore.,నెల్లూరు నుంచి వేలూరు వెళ్తున్నారు.
I am not a foodie.,నేను భోజనప్రియుడిని కాదు.
I don't think they're safe.,వారు సురక్షితంగా ఉన్నారని నేను అనుకోను.
I don't know what you want me to do.,నేను ఏమి చేయాలనుకుంటున్నానో నాకు తెలియదు.
I don't think Tom is coming to our rescue.,టామ్ మా రక్షణకు వస్తున్నాడని నేను అనుకోను.
The city has a railway station that is part of the South Central Railway network.,నగరంలో దక్షిణ మధ్య రైల్వే నెట్‌వర్క్‌లో భాగమైన రైల్వే స్టేషన్ ఉంది.
Tom says Mary wasn't at the meeting.,ఈ సమావేశంలో మేరీ లేడని టామ్ చెప్పారు.
She told me you were sick.,మీరు అనారోగ్యంతో ఉన్నారని ఆమె నాకు చెప్పారు.
Tom put the map on the table.,టామ్ మ్యాప్‌ను టేబుల్‌పై ఉంచాడు.
You're avoiding me.,మీరు నన్ను తప్పించుకుంటున్నారు.
Put it on my tab.,నా ట్యాబ్‌లో ఉంచండి.
Guntur has a rich cultural heritage and a long history dating back to the ancient times.,గుంటూరుకు గొప్ప సాంస్కృతిక వారసత్వం మరియు పురాతన కాలం నాటి సుదీర్ఘ చరిత్ర ఉంది.
A vibrant city with a rich cultural heritage and a thriving economy.,గొప్ప సాంస్కృతిక వారసత్వం మరియు అభివృద్ధి చెందుతున్న ఆర్థిక వ్యవస్థతో శక్తివంతమైన నగరం.
"It is a prime residential area that is known for its upscale homes, restaurants, and shopping centers.","ఇది ఉన్నత స్థాయి గృహాలు, రెస్టారెంట్లు మరియు షాపింగ్ కేంద్రాలకు ప్రసిద్ధి చెందిన ప్రధాన నివాస ప్రాంతం."
"S. P. Balasubrahmanyam, was a legendary Indian playback singer and music composer who primarily worked in the Tamil, Telugu, Kannada, Hindi, and Malayalam film industries.","S. P. బాలసుబ్రహ్మణ్యం, ప్రముఖ భారతీయ నేపథ్య గాయకుడు మరియు సంగీత స్వరకర్త, అతను ప్రధానంగా తమిళం, తెలుగు, కన్నడ, హిందీ మరియు మలయాళ చిత్ర పరిశ్రమలలో పనిచేశాడు."
I'm looking for a job.,నేను ఉద్యోగం కోసం చూస్తున్నాను.
That's precisely what Tom did.,టామ్ చేసినది అదే.
I think what you did was a mistake.,మీరు చేసినది పొరపాటు అని నేను అనుకుంటున్నాను.
Tom is signing documents.,టామ్ పత్రాలపై సంతకం చేస్తున్నాడు.
I don't really want to think about it.,నేను నిజంగా దాని గురించి ఆలోచించడం ఇష్టం లేదు.
We began kissing.,మేము ముద్దు పెట్టుకోవడం ప్రారంభించాము.
We go to school together.,మేమిద్దరం కలిసి బడికి వెళ్తాం.
We've been asked to help.,మాకు సహాయం చేయమని అడిగారు.
Are you staying for dinner?,మీరు విందు కోసం ఉంటున్నారా?
Tom is in the prime of his life.,టామ్ తన జీవితంలో ప్రధానంగా ఉన్నాడు.
Tom said hi to me in French.,టామ్ ఫ్రెంచ్‌లో నాకు హాయ్ చెప్పాడు.
Tom can't help us today.,టామ్ ఈ రోజు మాకు సహాయం చేయలేడు.
Which umbrella is yours?,ఏ గొడుగు మీది?
Tom wanted me to do that for him.,టామ్ నేను అతని కోసం అలా చేయాలనుకున్నాను.
I haven't talked to Tom in a very long time.,నేను టామ్‌తో చాలా కాలం మాట్లాడలేదు.
Tom is a much better singer than I am.,టామ్ నాకన్నా మంచి గాయకుడు.
Tom told me the book was interesting.,టామ్ పుస్తకం ఆసక్తికరంగా ఉందని నాకు చెప్పారు.
Are you still interested in working for us?,మా కోసం పనిచేయడానికి మీకు ఇంకా ఆసక్తి ఉందా?
I can't let you go alone.,నేను మిమ్మల్ని ఒంటరిగా వెళ్ళనివ్వలేను.
Both of my brothers are married.,నా సోదరులు ఇద్దరూ వివాహం చేసుకున్నారు.
That's probably what they'll say.,బహుశా వారు చెప్పేది అదే.
Tom says Mary often eats bananas.,మేరీ తరచుగా అరటిపండ్లు తింటున్నట్లు టామ్ చెప్పారు.
Tom doesn't want to do his homework right now.,టామ్ ప్రస్తుతం తన ఇంటి పని చేయాలనుకోవడం లేదు.
She gave him a clock.,ఆమె అతనికి ఒక గడియారం ఇచ్చింది.
Tom is a talented young man.,టామ్ ప్రతిభావంతులైన యువకుడు.
Tom said that he had been busy.,టామ్ తాను బిజీగా ఉన్నానని చెప్పాడు.
How do I know you didn't do it?,మీరు దీన్ని చేయలేదని నాకు ఎలా తెలుసు?
I'm quite lazy.,నేను చాలా బద్ధకంగా ఉన్నాను.
Why aren't you wearing your wedding ring?,మీ పెళ్లి ఉంగరాన్ని ఎందుకు ధరించలేదు?
I'd forgotten about that.,నేను దాని గురించి మరచిపోయాను.
I just need to blow off some steam.,నేను కొన్ని ఆవిరిని పేల్చివేయాలి.
This is our decision.,ఇది మా నిర్ణయం.
You should marry Tom.,మీరు టామ్‌ను వివాహం చేసుకోవాలి.
I'm glad to hear you're better.,మీరు బాగున్నారని వినడానికి నేను సంతోషిస్తున్నాను.
Tom doesn't have many books.,టామ్ వద్ద చాలా పుస్తకాలు లేవు.
Tom isn't having fun.,టామ్ సరదాగా లేడు.
